"customerkey","cuatomer_name","gender","addressline1","datefirstpurchase","city","statename","regionname"
11068,"Tiffany Liang","F","3608 Sinclair Avenue","2022-04-30","Warrnambool","Victoria","Australia"
11069,"Carolyn Navarro","F","4606 Springwood Court","2020-04-17","Gold Coast","Queensland","Australia"
11070,"Willie T Raji","M","6260 Vernal Drive","2020-04-28","Sunbury","Victoria","Australia"
11071,"Linda Serrano","F","9808 Shaw Rd.","2022-03-01","Hawthorne","Queensland","Australia"
11072,"Casey Luo","F","9513 Roslyn Drive","2020-03-31","St. Leonards","New South Wales","Australia"
11073,"Amy Ye","F","2262 Kirkwood Ct.","2022-03-23","Springwood","New South Wales","Australia"
11074,"Levi A Arun","M","4661 Bluetail","2022-03-23","Cloverdale","South Australia","Australia"
11075,"Felicia L Jimenez","F","786 Eastgate Ave","2020-04-28","Bendigo","Victoria","Australia"
11076,"Blake Anderson","M","5436 Clear","2020-04-21","Wollongong","New South Wales","Australia"
11077,"Leah Ye","F","1291 Arguello Blvd.","2020-04-15","Melton","Victoria","Australia"
11078,"Gina E Martin","F","1349 Sol St.","2022-02-15","Cliffside","British Columbia","Canada"
11079,"Donald Gonzalez","M","4236 Malibu Place","2022-03-15","Geelong","Victoria","Australia"
11080,"Damien Chander","M","9941 Stonehedge Dr.","2020-04-10","Perth","South Australia","Australia"
11081,"Savannah C Baker","F","1210 Trafalgar Circle","2022-02-12","Concord","California","United States"
11082,"Angela L Butler","F","6040 Listing Ct","2022-01-22","Fremont","California","United States"
11083,"Alyssa F Cox","F","867 La Orinda Place","2022-01-06","Lincoln Acres","California","United States"
11084,"Lucas Phillips","M","8668 St. Celestine Court","2022-01-04","Lebanon","Oregon","United States"
11085,"Emily Johnson","F","7926 Stephanie Way","2022-12-06","Newport Beach","California","United States"
11086,"Ryan Brown","M","2939 Wesley Ct.","2022-07-02","Santa Monica","California","United States"
11087,"Tamara L Liang","F","3791 Rossmor Parkway","2022-02-25","Chula Vista","California","United States"
11088,"Hunter Davis","M","4308 Sand Pointe Lane","2022-01-13","San Diego","California","United States"
11089,"Abigail M Price","F","2685 Blackburn Ct","2021-12-29","Long Beach","California","United States"
11090,"Trevor Bryant","M","5781 Sharon Dr.","2020-08-07","Los Angeles","California","United States"
11091,"Dalton Perez","M","6083 San Jose","2022-01-29","Haney","British Columbia","Canada"
11092,"Cheryl A Diaz","F","7297 Kaywood Drive","2020-04-08","East Brisbane","Queensland","Australia"
11093,"Aimee A He","F","1833 Olympic Drive","2020-04-07","Wollongong","New South Wales","Australia"
11094,"Cedric W Ma","M","3407 Oak Brook Place","2022-04-07","Cranbourne","Victoria","Australia"
11095,"Chad Kumar","M","1681 Lighthouse Way","2020-04-01","Port Macquarie","New South Wales","Australia"
11096,"Andrés Anand","M","5423 Los Gatos Ct.","2020-04-11","North Sydney","New South Wales","Australia"
11097,"Edwin R Nara","M","719 William Way","2020-04-04","Warrnambool","Victoria","Australia"
11098,"Mallory S Rubio","F","6452 Harris Circle","2022-02-11","Rhodes","New South Wales","Australia"
11099,"Adam Ross","M","4378 Westminster Place","2020-04-07","Port Macquarie","New South Wales","Australia"
11100,"Latasha L Navarro","F","6954 Ranch Road","2020-04-16","Cloverdale","South Australia","Australia"
11101,"Abby L Sai","F","7074 N. Spoonwood Court","2020-04-29","Cranbourne","Victoria","Australia"
11102,"Julia L Nelson","F","2196 Coat Ct.","2022-07-16","Sydney","New South Wales","Australia"
11103,"Cassie Chande","F","9448 San Marino Ct.","2020-04-15","Darlinghurst","New South Wales","Australia"
11104,"Edgar A Sara","M","6127 Lilly Lane","2020-05-04","Gold Coast","Queensland","Australia"
11105,"Candace Fernandez","F","5029 Blue Ridge","2020-05-14","Matraville","New South Wales","Australia"
11106,"Jessie Liu","M","3063 Blue Jay Drive","2020-05-18","Warrnambool","Victoria","Australia"
11107,"Bianca Lin","F","7530 Eola","2020-05-01","St. Leonards","New South Wales","Australia"
11108,"Kari C Alvarez","F","9178 Thornhill Place","2020-05-03","Port Macquarie","New South Wales","Australia"
11109,"Ruben D Kapoor","M","1984 Glendale Circle","2020-05-10","South Melbourne","Victoria","Australia"
11110,"Curtis Yang","M","4052 Mt. Wilson Way","2020-05-01","Darlinghurst","New South Wales","Australia"
11111,"Meredith T Gutierrez","F","7610 Northridge Ct.","2020-05-20","Geelong","Victoria","Australia"
11112,"Crystal C Wang","F","2773 Kirkwood Dr","2020-05-25","Hervey Bay","Queensland","Australia"
11113,"Micheal A Blanco","M","596 Marfargoa Drive","2022-02-01","Perth","South Australia","Australia"
11114,"Leslie C Moreno","F","7941 Cristobal","2022-03-18","Rhodes","New South Wales","Australia"
11115,"Alvin D Cai","M","7759 Azalea Avenue","2022-02-10","St. Leonards","New South Wales","Australia"
11116,"Clinton E Carlson","M","7943 Cunha Ct.","2022-03-15","Sydney","New South Wales","Australia"
11117,"April Deng","F","485 Ash Lane","2020-05-06","Matraville","New South Wales","Australia"
11118,"Alvin M Zeng","M","3853 Wildcat Circle","2022-07-10","Lavender Bay","New South Wales","Australia"
11119,"Evan V James","M","4157 Sierra Ridge","2022-02-03","Port Macquarie","New South Wales","Australia"
11120,"Beth H Jiménez","F","7401 Las Palmas","2020-05-14","Sydney","New South Wales","Australia"
11121,"Orlando Suarez","M","7743 Hames Dr","2022-06-24","Newcastle","New South Wales","Australia"
11122,"Byron Vazquez","M","3187 Hackamore Lane","2022-02-21","North Sydney","New South Wales","Australia"
11123,"Philip A Alvarez","M","2775 Mt. Olivet Pl.","2022-04-17","Sunbury","Victoria","Australia"
11124,"Ross F Jordan","M","6973 Dublin Court","2020-05-05","Warrnambool","Victoria","Australia"
11125,"Dana J Navarro","F","8481 Zartop Street","2022-01-31","Seaford","Victoria","Australia"
11126,"Shaun Carson","M","57 Wolf Way","2020-05-28","North Ryde","New South Wales","Australia"
11127,"Jan Edwards","F","9409 The Alameda","2022-04-10","San Gabriel","California","United States"
11128,"Samantha Long","F","1606 Alderwood Lane","2022-06-19","Renton","Washington","United States"
11129,"Julia M Wright","F","7397 Central Blvd.","2020-08-06","Sedro Woolley","Washington","United States"
11130,"Caroline L Russell","F","3884 Bates Court","2022-12-09","Lebanon","Oregon","United States"
11131,"Amanda Rivera","F","9573 Royal Oak Rd.","2022-10-18","Haney","British Columbia","Canada"
11132,"Melissa E Richardson","F","6832 Fruitwood Dr","2022-04-09","Langford","British Columbia","Canada"
11133,"Angela Griffin","F","3828 Baltic Sea Ct","2022-12-30","Lake Oswego","Oregon","United States"
11134,"Larry D Townsend","M","7034 Carson","2020-05-03","Perth","South Australia","Australia"
11135,"Marcus L Harris","M","9068 Quiet Place Drive","2022-04-18","Burlingame","California","United States"
11136,"Brianna D Morgan","F","9005 Eagle Ct.","2022-01-03","Metchosin","British Columbia","Canada"
11137,"Jasmine A Taylor","F","2457 Matterhorn Court","2022-07-31","Spokane","Washington","United States"
11138,"Lauren Davis","F","8105 Pembrook Court","2022-09-19","Glendale","California","United States"
11139,"Tanya Moreno","F","6155 Wilbur Drive","2022-09-14","Cloverdale","South Australia","Australia"
11140,"Javier L Alvarez","M","8935 Etcheverry Dr.","2022-03-19","Burbank","California","United States"
11141,"Nicole Ramirez","F","1101 C Street","2022-05-16","Daly City","California","United States"
11142,"Eduardo Patterson","M","6255 Macalvey Dr.","2022-02-13","Langford","British Columbia","Canada"
11143,"Jonathan M Henderson","M","165 East Lane Road","2022-06-15","Lakewood","California","United States"
11144,"Edward Hernandez","M","7607 Pine Hollow Road","2022-01-25","Ballard","Washington","United States"
11145,"Jasmine L Coleman","F","1961 Oak Grove Road","2022-01-25","Beaverton","Oregon","United States"
11146,"Karla L Goel","F","3272 Corrie Lane","2022-02-05","Matraville","New South Wales","Australia"
11147,"Ernest L Wu","M","1832 RiverRock Dr","2020-05-13","Warrnambool","Victoria","Australia"
11148,"Ross Vazquez","M","1201 Paso Del Rio Way","2022-03-07","East Brisbane","Queensland","Australia"
11149,"Theodore Gill","M","9120 Pinewood Court","2022-06-04","Hervey Bay","Queensland","Australia"
11150,"Russell M Shen","M","4755 Easley Drive","2022-03-27","Sunbury","Victoria","Australia"
11151,"Melinda G Gill","F","805 Rainier Dr.","2020-05-15","Sydney","New South Wales","Australia"
11152,"James J Williams","M","6827 Seagull Court","2022-01-09","Puyallup","Washington","United States"
11153,"Angela R James","F","8877 Weatherly Drive","2022-03-29","Renton","Washington","United States"
11154,"Megan G Walker","F","6898 Holiday Hills","2022-01-10","Woodburn","Oregon","United States"
11155,"Hunter J Robinson","M","8356 Mori Court","2022-01-06","Burbank","California","United States"
11156,"Maria Roberts","F","9452 Mariposa Ct.","2022-01-08","Lakewood","California","United States"
11157,"Hannah E Long","F","1832 Preston Ct.","2022-07-24","Tacoma","Washington","United States"
11158,"Jason K Wright","M","6771 Bundros Court","2022-01-19","San Gabriel","California","United States"
11159,"Brianna A Hughes","F","6793 Bonifacio St.","2022-09-08","Woodland Hills","California","United States"
11160,"Maurice M Tang","M","2886 Chaparral Court","2022-02-21","Concord","California","United States"
11161,"Emily Wood","F","1562 Black Walnut","2022-06-01","Concord","California","United States"
11162,"Chase Cox","M","P.O. Box 8070","2022-02-18","La Jolla","California","United States"
11163,"Gabriel Wang","M","8002 Crane Court","2022-05-01","Spring Valley","California","United States"
11164,"Devin Brooks","M","4231 Highland Dr.","2022-04-27","Torrance","California","United States"
11165,"Jocelyn Alexander","F","3376 Bank Way","2022-05-25","Oakland","California","United States"
11166,"Ashley Martinez","F","6993 Whyte Park Ave.","2022-10-14","Olympia","Washington","United States"
11167,"Jasmine J Barnes","F","9183 Via Del Sol","2022-01-07","Issaquah","Washington","United States"
11168,"David Rodriguez","M","38 Shangri-la Rd.","2022-01-15","Oakland","California","United States"
11169,"Bryce Richardson","M","1841 Blackwood Drive","2022-05-26","Coronado","California","United States"
11170,"Carol T Howard","F","6281 Edward Ave","2022-08-26","Burien","Washington","United States"
11171,"Jonathan E Hill","M","3731 Chinquapin Ct","2020-08-20","Woodland Hills","California","United States"
11172,"Gabrielle J Adams","F","5621 Arcadia Pl.","2022-05-03","Lynnwood","Washington","United States"
11173,"Sarah F Thomas","F","5636 Mt. Whitney Dr.","2022-03-02","W. Linn","Oregon","United States"
11174,"Nicholas Robinson","M","1318 Lasalle Street","2022-07-13","Los Angeles","California","United States"
11175,"Luis Wang","M","6943 Patterson Blvd.","2020-08-28","Beverly Hills","California","United States"
11176,"Mason D Roberts","M","5753 Megan Dr.","2022-02-02","Haney","British Columbia","Canada"
11177,"Jose M Flores","M","3991 Rambling Rose Drive","2022-03-29","San Diego","California","United States"
11178,"Nathan J Johnson","M","8927 Daylight Place","2022-02-21","Lakewood","California","United States"
11179,"Molly E Rodriguez","F","5556 Riverland Dr.","2022-03-12","Beverly Hills","California","United States"
11180,"April Anand","F","3531 Brookview Drive","2022-03-17","Chula Vista","California","United States"
11181,"Devin P Martin","M","1085 Greenbelt Way","2022-05-07","Los Angeles","California","United States"
11182,"Stephanie Torres","F","6968 Mildred Ln.","2022-08-28","Sedro Woolley","Washington","United States"
11183,"Jasmine W Lee","F","7502 Contuti Avenue","2022-04-30","Santa Cruz","California","United States"
11184,"Meghan Hernandez","F","5872 L St.","2022-08-10","Concord","California","United States"
11185,"Ashley Henderson","F","8834 San Jose Ave.","2022-02-21","Metchosin","British Columbia","Canada"
11186,"Sarah C Price","F","4815 Paraiso Ct.","2022-10-18","Palo Alto","California","United States"
11187,"Jennifer S Cooper","F","2429 Longview Road","2022-04-03","Burien","Washington","United States"
11188,"Catherine Morris","F","6542 Stonewood Drive","2022-11-01","San Gabriel","California","United States"
11189,"Lawrence W Blanco","M","7502 Contuti Avenue","2020-08-26","Bellingham","Washington","United States"
11190,"Carson Bryant","M","2995 Youngsdale Dr.","2022-08-28","Beverly Hills","California","United States"
11191,"Kristi E Perez","F","1769 Lislin Ct","2020-08-11","Colma","California","United States"
11192,"James C Brown","M","673 Old Mountain View Dr.","2022-06-23","Seattle","Washington","United States"
11193,"Ian A Gray","M","5941 Gill Dr.","2022-02-25","Woodburn","Oregon","United States"
11194,"Jacqueline R Price","F","872 Mark Twain Dr","2022-03-13","Palo Alto","California","United States"
11195,"Megan Henderson","F","8411 Mt. Olivet Place","2022-04-14","Renton","Washington","United States"
11196,"Alfredo Romero","M","2499 Greendell Pl","2022-03-03","Beaverton","Oregon","United States"
11197,"Andrea Morris","F","1883 Green View Court","2022-05-02","Seattle","Washington","United States"
11198,"Brooke Sanders","F","5192 Dumbarton Drive","2022-02-05","Santa Cruz","California","United States"
11199,"Jacqueline Bennett","F","8948 Chinquapin Court","2022-03-18","Burlingame","California","United States"
11200,"Jason L Griffin","M","7239 Nicholas Drive","2022-02-07","Victoria","British Columbia","Canada"
11201,"Amanda Foster","F","3984 San Francisco","2022-07-01","Santa Monica","California","United States"
11202,"Alexia L Price","F","2079 Wellington Ct","2022-09-15","Lakewood","California","United States"
11203,"Luis D Diaz","M","3682 Diablo View Road","2022-02-20","Port Hammond","British Columbia","Canada"
11204,"Destiny C Rivera","F","6965 Appalachian Drive","2022-08-09","Beaverton","Oregon","United States"
11205,"Abby Fernandez","F","8330 Glenside Court","2022-07-27","Burien","Washington","United States"
11206,"Blake Flores","M","9410 Ferry St.","2022-05-11","Lynnwood","Washington","United States"
11207,"Danielle Cox","F","2346 Wren Ave","2022-01-31","Renton","Washington","United States"
11208,"Maria Reed","F","1413 Bridgeview St","2022-03-04","Glendale","California","United States"
11209,"Allison Evans","F","3515 Sutton Circle","2022-03-25","Lincoln Acres","California","United States"
11210,"Edward J Wood","M","1039 Adelaide St.","2022-05-06","West Covina","California","United States"
11211,"Samantha Russell","F","9256 Village Oaks Dr.","2022-02-01","Haney","British Columbia","Canada"
11212,"Chloe Campbell","F","3562 East Ave.","2022-01-30","Metchosin","British Columbia","Canada"
11213,"Stephanie B Murphy","F","5514 Grant Street","2022-03-28","Edmonds","Washington","United States"
11214,"Charles O Miller","M","2719 Little Dr","2022-08-14","Milwaukie","Oregon","United States"
11215,"Ana Perry","F","3114 Arlington Way","2022-02-15","Royal Oak","British Columbia","Canada"
11216,"Jasmine A Torres","F","8328 San Francisco","2020-08-15","Portland","Oregon","United States"
11217,"Natalie P Adams","F","6592 Bent Tree Lane","2020-08-10","Portland","Oregon","United States"
11218,"Olivia Brown","F","3964 Stony Hill Circle","2022-02-28","Tacoma","Washington","United States"
11219,"Charles Cook","M","6871 Bel Air Dr.","2022-10-29","Woodburn","Oregon","United States"
11220,"Erica C Huang","F","9142 All Ways Drive","2022-03-14","Colma","California","United States"
11221,"Nathan Perry","M","9714 Nicholas Drive","2022-04-07","Lakewood","California","United States"
11222,"Alexandra Rivera","F","4999 Corte Segunda","2022-11-01","Santa Monica","California","United States"
11223,"Hailey I Patterson","F","5045 Vancouver Way","2022-01-29","Langley","British Columbia","Canada"
11224,"Tiffany J Li","F","6404 Del Mar Ave","2020-08-07","Burien","Washington","United States"
11225,"Madison D Lee","F","5927 Seaview Avenue","2022-06-22","Renton","Washington","United States"
11226,"Sydney T Ross","F","5252 Santa Fe","2022-02-21","W. Linn","Oregon","United States"
11227,"Marshall D Chavez","M","9022 Estudillo Street","2020-08-03","Colma","California","United States"
11228,"Ashley R Jones","F","7681 Willow Pass Road","2022-10-25","El Cajon","California","United States"
11229,"Adrian C Stewart","M","6898 Shaw Rd.","2022-07-27","Redwood City","California","United States"
11230,"Amber Turner","F","6345 Ridge Circle","2022-07-16","Santa Monica","California","United States"
11231,"Dennis Zhang","M","3951 Calle Verde Drive","2022-02-10","Bremerton","Washington","United States"
11232,"Hailey R Bryant","F","2828 Rogers Ave.","2022-09-20","Everett","Washington","United States"
11233,"Todd Li","M","5897 Scottsdale Rd.","2022-02-08","Berkeley","California","United States"
11234,"Anna Griffin","F","7221 Peachwillow Street","2022-02-08","Long Beach","California","United States"
11235,"Angel J Stewart","M","2585 La Salle Ct.","2022-07-04","Ballard","Washington","United States"
11236,"Jeremy Butler","M","8811 The Trees Dr.","2022-10-03","Bellingham","Washington","United States"
11237,"Clarence M Anand","M","Welt Platz 6","2020-09-05","Solingen","Nordrhein-Westfalen","Germany"
11238,"Mayra Prasad","F","1119 Elderwood Dr.","2020-01-06","Birmingham","England","United Kingdom"
11239,"Latoya C Goel","F","8154 Pheasant Circle","2020-01-19","London","England","United Kingdom"
11240,"Anne B Hernandez","F","76 Woodcrest Dr.","2020-02-27","Watford","England","United Kingdom"
11241,"Lisa Cai","F","102, rue de Berri","2021-09-10","Les Ulis","Essonne","France"
11242,"Larry Munoz","M","Midi-Couleurs","2021-09-19","Versailles","Yveline","France"
11243,"Robin V Alvarez","F","4086 Emmons Canyon Lane","2020-02-21","Esher-Molesey","England","United Kingdom"
11244,"Alexis M Coleman","F","7140 Camelback Road","2020-02-12","Runcorn","England","United Kingdom"
11245,"Ricky D Vazquez","M","Roßstr 9928","2020-09-26","Hamburg","Hessen","Germany"
11246,"Latasha Rubio","F","Alderstr 7690","2020-10-03","Hamburg","Hamburg","Germany"
11247,"Claudia M Zhou","F","6516 Beauer Lane","2020-02-18","Lancaster","England","United Kingdom"
11248,"Tristan P Alexander","M","88, avenue des Champs-Elysées","2022-07-14","Saint-Denis","Seine Saint Denis","France"
11249,"Cindy A Patel","F","Essener Straße 123","2020-10-09","Sulzbach Taunus","Saarland","Germany"
11250,"Shannon D Liu","F","4185 Keywood Ct.","2020-03-17","Woolston","England","United Kingdom"
11251,"Xavier Long","M","9245 Dantley Way","2022-10-18","Haney","British Columbia","Canada"
11252,"Nicholas D Thompson","M","504 O St.","2020-08-14","Lemon Grove","California","United States"
11253,"José M Hernandez","M","5703 Donald Dr.","2022-03-01","Victoria","British Columbia","Canada"
11254,"Johnathan W Vance","M","9430 Versailles Pl","2022-11-23","Burien","Washington","United States"
11255,"Colin Lin","M","6083 San Jose","2022-02-23","Burien","Washington","United States"
11256,"Katelyn L Hernandez","F","7496 Deerfield Dr.","2022-04-15","Lynnwood","Washington","United States"
11257,"Jacqueline Powell","F","4076 Northwood Dr","2020-08-24","Newport Beach","California","United States"
11258,"Xavier Hill","M","2707 Virgil Street","2022-05-21","Palo Alto","California","United States"
11259,"Victoria C Stewart","F","3623 Barquentine Court","2020-09-04","Salem","Oregon","United States"
11260,"Katelyn L Kelly","F","7085 Solano Drive","2022-02-05","Burlingame","California","United States"
11261,"Stephanie Collins","F","2868 Central Avenue","2020-09-27","San Diego","California","United States"
11262,"Jennifer Simmons","F","7959 Mt. Wilson Way","2022-02-27","Port Hammond","British Columbia","Canada"
11263,"Trinity Richardson","F","3063 Blue Jay Drive","2020-08-29","Burien","Washington","United States"
11264,"Eduardo Martin","M","5137 Pheasant Court","2022-01-02","Issaquah","Washington","United States"
11265,"Elizabeth P Jones","F","2253 Firestone Dr.","2022-01-03","Kirkland","Washington","United States"
11266,"Taylor Howard","F","7396 Stratton Circle","2020-09-10","Port Orchard","Washington","United States"
11267,"David Diaz","M","2075 Browse Ct","2020-09-17","Burlingame","California","United States"
11268,"Katelyn A Carter","F","3050 Monte Cresta Avenue","2022-05-29","Coronado","California","United States"
11269,"Ryan W Foster","M","5376 Sahara Drive","2022-08-22","Daly City","California","United States"
11270,"Robert L Lee","M","5461 Camino Verde Ct.","2020-09-10","Lakewood","California","United States"
11271,"Danielle C Reed","F","6683 Carrick Ct","2020-09-27","San Francisco","California","United States"
11272,"Lauren L Martinez","F","4357 Tosca Way","2020-09-19","Beverly Hills","California","United States"
11273,"Nathan E Lal","M","7064 Cypress Ave","2022-05-14","La Jolla","California","United States"
11274,"Kyle M Foster","M","5617 Landing Dr","2020-08-29","Bellingham","Washington","United States"
11275,"Jenny D Rai","F","1440 Willow Pass Dr.","2020-08-30","Colma","California","United States"
11276,"Nancy E Chapman","F","1480 Shoenic","2022-01-29","Cliffside","British Columbia","Canada"
11277,"Charles P Jackson","M","3400 Folson Drive","2022-02-02","Royal Oak","British Columbia","Canada"
11278,"Jonathan Phillips","M","8772 Rock Creek Way","2020-09-16","Edmonds","Washington","United States"
11279,"Amanda S Cook","F","9187 Vista Del Sol","2022-03-03","Everett","Washington","United States"
11280,"Robert Collins","M","5271 Sierra Road","2022-07-01","Lynnwood","Washington","United States"
11281,"Megan J Barnes","F","40 Ellis St.","2020-09-13","Burbank","California","United States"
11282,"Christian A Thomas","M","5205 Coralie Drive","2020-08-31","Burien","Washington","United States"
11283,"Arturo Lal","M","4593 Mendouno Dr.","2022-05-29","Berkeley","California","United States"
11284,"Theresa Serrano","F","9007 S Royal Links Circle","2022-02-06","Chula Vista","California","United States"
11285,"Jeremy J Anderson","M","7655 Greer Ave","2022-07-27","Fremont","California","United States"
11286,"Hunter D Griffin","M","4079 Redbird Lane","2020-09-21","Torrance","California","United States"
11287,"Henry B Garcia","M","3268 Hazelwood Lane","2022-01-29","Cliffside","British Columbia","Canada"
11288,"Cindy K Sanchez","F","7062 Starflower Drive","2022-03-05","Burbank","California","United States"
11289,"Maria S Carter","F","8603 Elmhurst Lane","2020-09-08","Downey","California","United States"
11290,"Katelyn Sanchez","F","8869 Climbing Vine Court","2020-09-20","Lakewood","California","United States"
11291,"Jenna Wright","F","232 Pinnacle Drive","2020-09-04","Lemon Grove","California","United States"
